province,region4,regionmrs,regioneconomy,grp,grp1,grp2,grp3,pop,popurban,poprural,birthrate,deathrate,natgrowth,lifeexp,lifeexpm,lifeexpf,empurban,empagri,empmining,empmanufact,emplelectric,empconstruct,emptransport,empinform,emptrades,emptourism,empfinance,emprealestate,empbusinservices,empscience,empwater,emphhservices,empeducation,emphealth,empsports,empsocial,wagesurban,wagesagri,wagesmining,wagesmanufact,wageslelectric,wagesconstruct,wagestransport,wagesinform,wagestrades,wagestourism,wagesfinance,wagesrealestate,wagesbusinservices,wagesscience,wageswater,wageshhservices,wageseducation,wageshealth,wagessports,wagessocial,tradeblop,exportsop,imprtsop,tradebldest,exportsdest,imprtsdest,healtcareinst,hospitals,museums,libraryusage,lotterysales,trafficacccidents,trafficdeaths,trafficinjuries
Zhejiang,Eastern,Yangtze River Delta,Tier 1 (Highest),85619.6,2463,33586.1,49570.6,6627,4919,1708,5.8,6.66,-0.86,80.19,78.09,82.58,1064.8,0.9,0.5,336.4,13.7,143.5,37.9,34.7,47.4,16.9,43.3,33.1,81.2,24.7,11.3,4.8,89.7,58.6,7.2,78.9,14042.11,8.94,4.75,3637.83,244.31,1086.59,492.33,1055.75,669.16,108.59,945.53,347.21,723.82,452.36,105.89,34.43,1470.6,1146.34,109.14,1398.56,696770000,507260000,189510000,661170000,485020000,176150000,37679,1606,206,1.85,163.8,9690,2678,8223
Anhui,Intermediate,Yangtze River Delta,Tier 2 (Upper-middle),48227.5,3494.8,18734.9,25997.8,6121,3765,2356,6.45,8.56,-2.11,77.96,75.52,80.72,591.3,1.9,12.8,152.9,9.2,84.3,26.7,13.6,23.5,6.8,18.2,15,34.8,11,9.7,2.4,67.8,38.5,3.5,58.7,6061.82,12.47,193.58,1440.24,136.14,670.2,289.13,181.63,222.08,36.25,279.97,117.93,218.25,147.51,45.33,15.72,803.48,523.4,34.74,693.78,114400000,74340000,40070000,117470000,81450000,36020000,31361,1354,181,0.73,71.3,9400,2356,9646
Fujian,Eastern,Not classified,Tier 2 (Upper-middle),54801.7,3220.1,23502.8,28078.8,4183,2972,1211,6.81,6.95,-0.14,78.49,75.81,81.55,548.6,1,0.9,130.4,10.8,103.6,20.3,10.7,24.3,10.5,20.4,15.2,38.6,7.9,7.1,3.9,61.1,27.6,3.7,50.9,5826.49,7.56,8.11,1223.1,160.71,720.94,251.37,179.99,267.88,56.64,362.44,141.38,321.76,115.13,51.86,31.28,781.93,448.87,42.84,652.71,280760000,167250000,113510000,245170000,159530000,85650000,30023,731,102,1.42,56.9,7983,1594,7652
Jiangxi,Intermediate,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),32677.1,2436.4,13115.7,17125,4515,2850,1665,6.52,7.36,-0.84,77.64,75.08,80.52,419.4,1.4,2.6,96.1,9.5,55.9,16.2,6.3,16.5,4.9,12.7,9.4,9.7,7.1,8.7,1.4,64.9,30.5,3.3,62.5,3874.74,8.17,22.39,757.98,94.68,381.96,173.21,71.95,139.62,23.29,175.1,71.86,72.24,83.62,39.56,6.6,669.5,376.89,30.82,675.29,81080000,56100000,24980000,82780000,56880000,25900000,40129,1139,170,0.96,40.6,3695,1474,3542
Shandong,Eastern,Not classified,Tier 1 (Highest),94206.4,6500.6,38055.9,49649.9,10123,6634,3489,6.01,8.19,-2.18,79.18,76.46,82.11,1077,1.3,23.9,261.6,27,111.1,43.9,19.9,48.9,14.6,50.7,31.9,41.6,24.6,17,3.5,129.1,79.2,8,139.3,11574.24,8.82,350.1,2500.19,373.91,967.07,506.87,290.22,424.58,82.41,689.8,247.99,347.29,315.09,102.5,19.61,1595.19,1043.26,87.96,1621.4,464380000,276160000,188220000,564910000,299520000,265390000,88186,2847,348,0.85,110.2,11589,3009,10569
Henan,Intermediate,Not classified,Tier 2 (Upper-middle),60627.7,5353,23097.7,32177,9815,5701,4114,7.06,8,-0.94,77.6,74.59,80.84,786.9,1.2,22.9,132.6,23,90,35.9,18.7,31.7,7.5,23.3,21.8,24.3,16.9,15.2,4.5,119.5,69.4,6.6,121.7,6668.27,6.63,248.4,1050.75,284.95,613.31,363.64,197.31,241.86,37.01,349.21,154.21,153.95,166.65,65.01,18.79,984.11,695.76,51.51,985.21,115170000,75010000,40160000,125670000,84550000,41130000,85044,2527,259,0.49,62.4,20919,2652,23466
Hubei,Intermediate,Yangtze River Economic Belt (w/o Delta),Tier 2 (Upper-middle),56794.3,5068.2,20750.3,30975.8,5838,3822,2016,5.48,8.63,-3.15,78,75.73,80.53,626,1.7,2.7,121.3,10.5,89.8,29.6,16.8,32.2,10.3,21.1,20.8,33.5,16.4,9.1,3.6,74.8,49,5.9,77.1,6782.08,10.57,37.19,1155.85,168.66,779.91,343.04,266.16,281.14,52.1,321.63,176.04,283.86,265.77,71.2,19.74,860.79,683.83,63.96,940.64,91530000,61480000,30050000,85470000,56510000,28960000,38586,1245,172,0.98,72.7,28492,4287,32508
Hunan,Intermediate,Yangtze River Economic Belt (w/o Delta),Tier 2 (Upper-middle),50667.5,4617.4,18639.2,27410.8,6568,4017,2551,6,9.08,-3.08,77.88,75.36,80.75,585.3,1.4,4.2,102.4,15.9,96.4,23.1,9.6,24.1,6.9,23.9,13.6,15.8,12.7,10.3,2.7,81.5,47.5,5.9,87.3,5688.36,9.05,31.69,941.09,196.96,736.88,246.02,140.11,196.66,35.92,339.12,108.05,121.63,156.57,70.69,23.14,801.32,603.7,68.36,861.41,87980000,57210000,30770000,60740000,44200000,16540000,57503,1781,159,0.88,80.3,7722,3270,6935
Guangdong,Eastern,Perl River Delta,Tier 1 (Highest),137905.4,5555.2,52679.5,79670.7,12706,9583,3123,8.12,5.36,2.76,79.31,76.75,82.22,1990,1.4,1.7,750.6,25.8,124.4,74,81.6,102.3,45,71.2,89.7,126,48.2,21.3,13.6,155.1,95.1,12.1,150.9,26266.9,11.52,38.15,7945.37,485.09,1103.79,1030,2007.16,1225.32,256.53,1931.14,914.24,1339.6,887.87,181.41,96.35,2362.89,1861.88,165.73,2422.8,1179920000,772930000,406990000,1337840000,835220000,502620000,62819,1875,223,1.19,216.7,34353,7246,33056
Guangxi,Western,Not classified,Tier 3 (Lower-middle),27501.7,4466.8,8979.8,14055.1,5027,2854,2173,8.04,7.62,0.42,78.06,74.64,81.98,390.8,2.9,0.9,53.5,10.4,30,17.8,6.9,13.6,5.1,15.9,7.7,18.3,9.1,6.3,1.3,85.8,41.4,3.5,60.4,3745.45,23.39,7.07,420.4,142.75,229.2,196.88,97.1,121.73,23.89,232.59,63.51,128.61,103.27,41.23,7.22,777.57,492.33,31.33,605.37,98170000,51390000,46790000,110840000,39250000,71580000,34888,892,119,0.65,46.3,15644,2677,17180
